"","x"
"515",14
"516",5
"517",5
"518",12
"519",9
"520",8
"521",5
"522",5
"523",1
"524",1
"525",1
"526",13
"527",13
"528",13
"529",3
"530",3
"531",11
"532",11
"533",7
"534",5
"535",13
"536",15
"537",4
"538",4
"539",4
"540",4
"541",1
"542",4
"543",4
"544",5
"545",9
"546",9
"547",14
"548",4
"549",4
"550",10
"551",15
"552",15
"553",15
"554",15
"555",5
"556",2
"557",2
"558",4
"559",4
"560",4
"561",4
"562",4
"563",9
"564",9
"565",1
"566",1
"567",12
"568",13
"569",11
"570",10
"571",6
"572",4
"573",4
"574",1
"575",19
"576",19
"577",7
"578",11
"579",13
"580",8
"581",8
"582",5
"583",1
"584",1
"585",1
"586",1
"587",5
"588",5
"589",10
"590",4
"591",13
"592",16
"593",10
"594",2
"595",5
"596",12
"597",2
"598",13
"599",13
"600",6
"601",6
"602",5
"603",16
"604",5
"605",10
"606",9
"607",9
"608",13
"609",10
"610",10
"611",10
"612",6
"613",11
"614",9
"615",9
"616",9
"617",10
"618",10
"619",15
"620",10
"621",10
"622",13
"623",13
"624",9
"625",8
"626",10
"627",13
"628",17
"629",17
"630",17
"631",17
"632",17
"633",11
"634",9
"635",15
"636",15
"637",15
"638",15
"639",15
"640",5
"641",9
"642",9
"643",1
"644",1
"645",1
"646",13
"647",13
"648",12
"649",1
"650",1
"651",1
"652",1
"653",15
"654",12
"655",2
"656",2
"657",16
"658",16
"659",2
"660",12
"661",5
"662",12
"663",9
"664",12
"665",11
"666",10
"667",4
"668",9
"669",10
"670",10
"671",12
"672",12
"673",2
"674",14
"675",18
"676",18
"677",18
"678",11
"679",5
"680",13
"681",10
"682",15
"683",4
"684",13
"685",2
"686",2
"687",9
"688",13
"689",13
"690",13
"691",9
"692",5
"693",10
"694",10
"695",10
"696",2
"697",2
"698",2
"699",13
"700",13
"701",13
"702",12
"703",12
"704",2
"705",7
"706",7
"707",2
"708",2
"709",2
"710",2
"711",13
"712",13
"713",4
"714",13
"715",3
"716",7
"717",2
"718",2
"719",2
"720",3
"721",2
"722",2
"723",2
"724",2
"725",2
"726",2
"727",1
"728",13
"729",7
"730",4
"731",7
"732",13
"733",2
"734",5
"735",5
"736",15
"737",2
"738",2
"739",3
"740",13
"741",10
"742",5
"743",12
"744",2
"745",11
"746",11
"747",11
"748",21
"749",14
"750",5
"751",12
"752",10
"753",2
"754",4
"755",3
"756",9
"757",9
"758",12
"759",5
"760",13
"761",5
"762",2
"763",2
"764",9
"765",5
"766",4
